subject,condition,task,task_name,n_trials,n_valid_delay,mean_eeg_erd_onset_ms,std_eeg_erd_onset_ms,mean_emg_onset_ms,std_emg_onset_ms,mean_delay_ms,std_delay_ms,mean_xcorr_lag_ms,std_xcorr_lag_ms
32,free,2,Task3,10,10,-57.0,46.70117771534247,204.0,89.85543945694106,261.0,120.1623901227002,-38.5,270.5
33,free,0,Task1,10,9,-0.5555555555555556,165.45298836232814,193.0,79.03163923391695,208.33333333333334,188.57653913228737,-128.0,178.90220792377048
33,free,1,Task2,10,8,-43.125,78.57868270084451,149.0,41.09744517606904,194.375,94.32117670491606,146.5,305.27078143838133
33,free,2,Task3,10,10,-62.5,50.608793702280636,126.5,82.1599050632363,189.0,96.22369770487933,71.0,264.2423130386199
34,free,0,Task1,10,8,3.125,164.46765449473645,158.5,103.39366518312426,146.875,133.57903793260377,-43.5,270.67554377889405
34,free,1,Task2,10,10,9.0,161.13348503647526,97.0,21.817424229271428,88.0,159.94061397906412,236.0,278.74540354954735
34,free,2,Task3,10,8,-58.75,53.6627198341642,99.0,28.965496715920477,153.125,60.3602466446253,164.5,242.01704485428294
35,free,0,Task1,10,10,-60.0,53.43220002957018,132.5,135.4114101543884,192.5,176.08591652940333,-114.0,387.9484501837841
35,free,1,Task2,10,10,-38.0,72.29107828771127,93.5,96.33405420722207,131.5,82.52423886349997,120.5,283.8525145211858
35,free,2,Task3,10,10,-26.5,81.57971561607701,133.0,91.62968951164245,159.5,131.40490858411644,-14.5,161.53095678537906
36,free,0,Task1,10,9,48.888888888888886,175.47994152193922,191.5,71.80006963784923,141.11111111111111,197.8043053370592,-85.0,333.2866633995426
36,free,1,Task2,10,10,-58.0,61.53048025166064,176.0,53.79591062525106,234.0,90.0222194794152,-138.5,377.3860755247867
36,free,2,Task3,10,9,-17.77777777777778,146.44132520704346,245.0,67.04476116744694,262.77777777777777,173.43124015507817,-34.5,444.31098343390073
37,free,0,Task1,10,9,71.11111111111111,225.01577448132855,184.5,90.8418956209083,110.0,224.67260130638488,69.0,431.2992000920011
37,free,1,Task2,10,9,43.888888888888886,99.93825254119491,170.5,85.01323426384859,113.33333333333333,58.30951894845301,221.5,332.9267937550236
